attack_type,bytes,dst_ip,dst_port,flags,id,label,payload,protocol,src_ip,src_port,timestamp
,1423,10.20.0.10,5432,"SYN,ACK,FIN",4438b82a,normal,SELECT * FROM ledger WHERE id=?,TCP,41.203.7.144,24076,2026-03-02T09:00:05.306475
,3568,10.20.0.10,443,"SYN,ACK,FIN",eb99f8e7,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.71.63,28552,2026-03-02T09:00:11.386935
,3078,10.20.0.10,443,"SYN,ACK,FIN",c1ad4656,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.88.72,18933,2026-03-02T09:00:26.057863
,741,10.20.0.10,22,"SYN,ACK,FIN",a7f0fe19,normal,SSH-2.0-OpenSSH_login_success,TCP,10.20.0.5,5430,2026-03-02T09:00:31.319069
,379,10.20.0.10,5432,"SYN,ACK,FIN",85896388,normal,SELECT * FROM ledger WHERE id=?,TCP,41.203.71.63,14235,2026-03-02T09:00:33.285411
,2137,10.20.0.10,5432,"SYN,ACK,FIN",0a9b829a,normal,SELECT * FROM ledger WHERE id=?,TCP,41.203.246.196,49828,2026-03-02T09:00:39.282569
,1586,10.20.0.10,443,"SYN,ACK,FIN",e2b833c4,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.56.60,36807,2026-03-02T09:00:39.902119
,2817,10.20.0.10,443,"SYN,ACK,FIN",8aca785e,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.8.24,28537,2026-03-02T09:00:42.974502
,3957,10.20.0.10,5432,"SYN,ACK,FIN",f906877c,normal,SELECT * FROM ledger WHERE id=?,TCP,41.203.88.72,17355,2026-03-02T09:00:45.196547
,1540,10.20.0.10,443,"SYN,ACK,FIN",18dccf89,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.167.180,25868,2026-03-02T09:00:45.256170
,1197,10.20.0.10,443,"SYN,ACK,FIN",776b12ff,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.207.41,22880,2026-03-02T09:00:45.520660
,2523,10.20.0.10,443,"SYN,ACK,FIN",5d6ff194,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.8.24,58565,2026-03-02T09:00:52.132650
,977,10.20.0.10,443,"SYN,ACK,FIN",78d3f064,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.130.155,19104,2026-03-02T09:00:54.495080
,1589,10.20.0.10,443,"SYN,ACK,FIN",175b368e,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.7.190,48748,2026-03-02T09:00:54.551407
,3907,10.20.0.10,5432,"SYN,ACK,FIN",1d39421e,normal,SELECT * FROM ledger WHERE id=?,TCP,41.203.2.195,55857,2026-03-02T09:00:56.526436
,2485,10.20.0.10,443,"SYN,ACK,FIN",424a3aff,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.7.190,7217,2026-03-02T09:00:59.320669
,2786,10.20.0.10,5432,"SYN,ACK,FIN",932a5f51,normal,SELECT * FROM ledger WHERE id=?,TCP,41.203.189.27,30004,2026-03-02T09:01:01.457633
,2470,10.20.0.10,443,"SYN,ACK,FIN",1fb37ed3,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.189.27,51169,2026-03-02T09:01:01.749138
,1615,10.20.0.10,443,"SYN,ACK,FIN",7713c16d,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.8.24,62970,2026-03-02T09:01:06.475710
,1863,10.20.0.10,443,"SYN,ACK,FIN",e13a5988,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.207.41,42804,2026-03-02T09:01:07.537048
,3703,10.20.0.10,443,"SYN,ACK,FIN",b9cf5cf8,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.130.155,57663,2026-03-02T09:01:09.057901
,3843,10.20.0.10,5432,"SYN,ACK,FIN",e9bb87d6,normal,SELECT * FROM ledger WHERE id=?,TCP,41.203.140.108,3636,2026-03-02T09:01:12.397667
,755,10.20.0.10,443,"SYN,ACK,FIN",189c7f6d,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.179.109,29113,2026-03-02T09:01:15.552716
,257,10.20.0.10,443,"SYN,ACK,FIN",25d16f89,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.7.144,26882,2026-03-02T09:01:21.272588
,581,10.20.0.10,443,"SYN,ACK,FIN",65c4c013,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.140.108,6618,2026-03-02T09:01:22.102310
,2828,10.20.0.10,5432,"SYN,ACK,FIN",afc0169d,normal,SELECT * FROM ledger WHERE id=?,TCP,41.203.58.36,14924,2026-03-02T09:01:22.506081
,1081,10.20.0.10,443,"SYN,ACK,FIN",78758bcc,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.189.27,35789,2026-03-02T09:01:22.581915
,1670,10.20.0.10,443,"SYN,ACK,FIN",9b501f71,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.56.60,7362,2026-03-02T09:01:23.471259
,3939,10.20.0.10,5432,"SYN,ACK,FIN",c1519778,normal,SELECT * FROM ledger WHERE id=?,TCP,41.203.164.29,56166,2026-03-02T09:01:23.888281
,3276,10.20.0.10,443,"SYN,ACK,FIN",41cd683a,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.179.109,63414,2026-03-02T09:01:24.048480
,1965,10.20.0.10,443,"SYN,ACK,FIN",0dfb4528,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.51.184,44211,2026-03-02T09:01:24.893217
,1435,10.20.0.10,443,"SYN,ACK,FIN",676e5cde,normal,GET /api/v1/transactions HTTP/1.1,TCP,41.203.208.223,51649,2026-03-02T09:01:31.711175
,2551,10.20.0.10,5432,"SYN,ACK,FIN",c79dc5b0,normal,SELECT * FROM ledger WHERE id=?,TCP,41.203.246.196,1827,2026-03-02T09:01:32.328882
